,START,END
0,2017-07-16 18:49:25.903525,2017-07-16 18:49:25.931548
1,2017-07-16 18:49:25.996595,2017-07-16 18:49:27.161418
2,2017-07-16 18:49:27.224464,2017-07-16 18:49:27.288509
3,2017-07-16 18:49:28.619368,2017-07-16 18:49:28.656394
4,2017-07-16 18:49:28.705427,2017-07-16 18:49:32.812382
5,2017-07-16 18:49:32.840401,2017-07-16 18:49:33.049551
6,2017-07-16 18:49:33.111593,2017-07-16 18:49:33.148073
7,2017-07-16 18:49:34.778412,2017-07-16 18:49:35.401021
8,2017-07-16 18:49:38.424227,2017-07-16 18:49:39.572131
9,2017-07-16 18:49:40.025453,2017-07-16 18:49:40.101852
10,2017-07-16 18:49:40.134328,2017-07-16 18:49:40.230508
11,2017-07-16 18:49:40.261529,2017-07-16 18:49:41.833159
12,2017-07-16 18:49:41.864180,2017-07-16 18:49:41.948241
13,2017-07-16 18:49:45.465146,2017-07-16 18:49:45.561219
14,2017-07-16 18:49:45.600240,2017-07-16 18:49:52.688327
